date,sales,yhat,yhat_lower,yhat_upper
2013-01-01,2511.618999,,,
2013-01-02,496092.417944,441923.0009337021,320754.5061482178,562942.2943346417
2013-01-03,361461.231124,341428.39980791515,218063.1942608948,471404.8603811799
2013-01-04,354459.6770927,404107.79081040254,278213.28389531415,536156.8923524817
2013-01-05,477350.121229,578058.9725721078,440480.7515531124,704341.827592573
2013-01-06,519695.401088,624194.1791659347,500200.6485389647,750052.6778936936
2013-01-07,336122.801066,396669.4564021832,260342.42818721975,523661.6747046196
2013-01-08,318347.777981,338626.56392930675,210148.0025719209,467410.5897558678
2013-01-09,302530.809018,351443.7075778496,224532.11861416383,475288.9374813688
2013-01-10,258982.003049,252736.6631784988,128501.77351035865,379496.0504831342
2013-01-11,289737.6850845,318383.93966764136,183800.0377040269,439871.939135372
2013-01-12,403258.2120105,496371.21999080095,369990.7148841267,626147.2879135921
2013-01-13,464638.547998,547478.8080505832,417949.7692651202,670902.2026419984
2013-01-14,293348.362078,325714.53807565226,203729.4081495465,447821.7028978045
2013-01-15,299129.549954,274059.5592249712,139008.76084524122,392912.2223476738
2013-01-16,318347.913946,293723.1977110497,170882.52703044767,421137.6083225093
2013-01-17,267498.5159755,202148.34994498375,67539.89700262538,315357.73905438033
2013-01-18,296130.850028,275040.9440687167,144197.54024162737,402618.8197796543
2013-01-19,432459.852021,460218.5981436487,327396.7577524064,584582.7376077314
2013-01-20,461092.386047,518302.0961094004,397043.9745990849,640074.9059041212
2013-01-21,311211.26595000003,303152.03668981855,178404.69624818265,435233.9930127608
2013-01-22,296214.728983,257617.97539045368,129098.70304501645,387201.0744493127
2013-01-23,283258.4530325,282796.1801531614,153858.96290460508,403283.883065909
2013-01-24,247245.690995,196037.385457131,72531.40264087408,331762.42682541494
2013-01-25,290022.77193,272978.028237826,144764.86916675506,400173.60006161337
2013-01-26,413799.7679753,461390.05594506767,330875.95319973887,586990.7587168412
2013-01-27,430411.991233,521872.9067920719,391990.82610172,647194.8743726874
