date,yhat,yhat_lower,yhat_upper
2013-01-02,441923.0009337021,320754.5061482178,562942.2943346417
2013-01-03,341428.39980791515,218063.1942608948,471404.8603811799
2013-01-04,404107.79081040254,278213.28389531415,536156.8923524817
2013-01-05,578058.9725721078,440480.75155311235,704341.827592573
2013-01-06,624194.1791659347,500200.6485389647,750052.6778936936
2013-01-07,396669.45640218316,260342.42818721978,523661.6747046196
2013-01-08,338626.56392930675,210148.00257192086,467410.5897558678
2013-01-09,351443.70757784956,224532.11861416383,475288.9374813688
2013-01-10,252736.66317849877,128501.77351035863,379496.0504831342
2013-01-11,318383.93966764136,183800.03770402694,439871.93913537194
2013-01-12,496371.21999080095,369990.7148841267,626147.2879135921
2013-01-13,547478.8080505832,417949.7692651202,670902.2026419984
2013-01-14,325714.53807565226,203729.40814954654,447821.70289780444
2013-01-15,274059.55922497116,139008.76084524122,392912.2223476738
2013-01-16,293723.19771104975,170882.52703044767,421137.60832250933
2013-01-17,202148.34994498378,67539.89700262538,315357.73905438033
2013-01-18,275040.9440687167,144197.54024162737,402618.8197796543
2013-01-19,460218.5981436487,327396.7577524064,584582.7376077314
2013-01-20,518302.0961094004,397043.97459908493,640074.9059041212
2013-01-21,303152.03668981855,178404.69624818265,435233.99301276077
2013-01-22,257617.97539045368,129098.70304501643,387201.0744493127
2013-01-23,282796.1801531614,153858.96290460508,403283.883065909
2013-01-24,196037.385457131,72531.40264087408,331762.42682541494
2013-01-25,272978.02823782596,144764.86916675506,400173.60006161337
2013-01-26,461390.05594506767,330875.95319973887,586990.7587168412
2013-01-27,521872.9067920719,391990.82610172004,647194.8743726874
2013-01-28,308290.01363196154,180626.6347212564,425248.6692870752
2013-01-29,263517.1650969115,144970.23775803976,394955.7359070516
2013-01-30,288698.87479572813,158898.04483913572,421217.24304527044
2013-01-31,201254.18931550102,74888.17053619862,331784.310988717
2013-02-01,276905.47874495457,144102.24194142653,399923.3882071203
2013-02-02,463525.37295717443,336697.9795473542,580401.5905396127
2013-02-03,521825.5271530171,384200.8043092065,647585.175644081
2013-02-04,305789.6596877769,181133.7283108228,431539.2823941015
2013-02-05,258418.29301746003,134389.4012162514,382753.4521716694
2013-02-06,280981.44866663415,150171.49244068013,409974.53316738264
2013-02-07,191020.82726914858,61772.04310894657,313770.3187294878
2013-02-08,264375.11515369685,143368.5017906876,389169.7796427925
2013-02-09,449023.67333102605,316658.57653501135,565332.1651749822
2013-02-10,505772.3773857454,380120.0305988804,631614.2771160152
2013-02-11,288684.12647707266,168064.8795304338,427962.6206569206
2013-02-12,240821.5157070107,116219.10210470426,365883.0288974781
2013-02-13,263497.97282199963,142081.65265394363,391407.4150195228
2013-02-14,174278.9258214866,43603.4940428824,290391.545838893
2013-02-15,249006.66309157445,124450.15815393411,379900.38525899954
2013-02-16,435644.1463591493,307421.2619144364,567031.0712087611
2013-02-17,494961.5337291851,366481.71743098064,623733.7619862403
2013-02-18,280967.90461698925,150766.2377462698,409966.1800139877
2013-02-19,236655.64016794477,115126.99348271868,355542.6860059761
2013-02-20,263253.70649696526,129371.86947331163,384261.44207010587
2013-02-21,178231.34233575335,53746.709566135316,306241.0468043401
2013-02-22,257325.73829986827,127029.08076343713,376810.80540672527
2013-02-23,448388.88639010774,320585.03925854363,576846.0779540676
2013-02-24,512077.2704017843,386232.07383481663,625177.0242463388
2013-02-25,302286.7999526371,176847.24876153166,432806.51736196456
2013-02-26,261900.35265397106,133098.23350535406,371725.6838058287
